pm10,temp,bp,rh,ws,co,o3,nox,so2,pm2.5
0.585,0.6,0.9655,0.6024,0.2593,0.202,0.039,0.1672,0.079,390
0.585,0.6,0.9655,0.5542,0.2593,0.16,0.0572,0.1576,0.1161,390
0.4035,0.6,0.9655,0.5301,0.2407,0.152,0.0636,0.144,0.1211,271
0.4035,0.5,0.9655,0.506,0.2963,0.141,0.0994,0.1352,0.1261,271
0.4035,0.5,0.9655,0.4578,0.2593,0.11,0.1102,0.1154,0.1281,271
0.4035,0.4,1,0.4458,0.2963,0.088,0.1339,0.0772,0.1281,271
0.2993,0.4,1,0.4337,0.2778,0.088,0.1483,0.075,0.1336,167
0.2993,0.4,0.9655,0.4217,0.3148,0.104,0.1623,0.0776,0.1371,167
0.2993,0.4,0.9655,0.4096,0.2222,0.101,0.1814,0.0782,0.079,167
0.2993,0.4,0.9655,0.3976,0.2222,0.097,0.2025,0.0718,0.1567,167
0.2555,0.4,0.9655,0.3373,0.1667,0.068,0.2105,0.0588,0.1401,149
0.2555,0.4,0.9655,0.3373,0.3148,0.058,0.2211,0.0518,0.1411,149
0.2555,0.4,0.9655,0.3494,0.1481,0.058,0.2057,0.05,0.1446,149
0.2555,0.4,0.9655,0.3494,0.1667,0.064,0.2108,0.0574,0.1792,149
0.1627,0.4,0.9655,0.3494,0.2222,0.064,0.224,0.06,0.1802,81
0.1627,0.4,0.9655,0.3373,0.2778,0.064,0.2401,0.0568,0.1471,81
0.1627,0.4,0.9655,0.3373,0.2778,0.058,0.2767,0.0484,0.079,81
0.1627,0.4,0.9655,0.3494,0.2778,0.061,0.2814,0.0442,0.1211,81
0.1502,0.5,0.9655,0.3614,0.2222,0.064,0.2571,0.0478,0.1792,78
0.1502,0.55,0.9655,0.3614,0.2778,0.068,0.2405,0.054,0.1962,78
0.1502,0.5,0.9655,0.3614,0.1296,0.052,0.2565,0.0534,0.2097,78
0.1502,0.5,0.9655,0.3735,0.2593,0.065,0.1844,0.0624,0.2708,78
0.1418,0.6,0.9655,0.3735,0.1296,0.065,0.1658,0.0842,0.3333,79
0.1418,0.6,0.9655,0.3855,0.1111,0.066,0.1689,0.09,0.3363,79
0.1418,0.55,0.9655,0.3976,0.0556,0.074,0.1324,0.0984,0.079,79
0.1418,0.6,0.9655,0.4096,0.0556,0.104,0.0637,0.1292,0.2708,79
0.1898,0.65,0.9655,0.4337,0.0741,0.191,0.0456,0.1764,0.1772,92
0.1898,0.5,0.9655,0.4458,0.0556,0.244,0.0236,0.217,0.1306,92
0.1898,0.6,0.9655,0.494,0.037,0.214,0.0093,0.1752,0.0926,92
0.1898,0.6,0.9655,0.5783,0,0.223,0.0196,0.1664,0.0706,92
0.4734,0.6,0.931,0.6506,0,0.223,0.0261,0.191,0.0626,140
0.4734,0.65,0.931,0.7108,0,0.434,0.0271,0.446,0.0611,140
0.4734,0.7,0.931,0.7349,0,0.481,0.0327,0.4756,0.079,140
0.4734,0.8,0.931,0.747,0,0.67,0.0207,0.6546,0.0596,140
0.5047,0.8,0.931,0.747,0,0.821,0.0306,0.7732,0.0541,140
0.5047,0.7,0.931,0.747,0,0.001,0.0339,0.9924,0.0561,140
0.5047,0.55,0.931,0.759,0,0.001,0.0324,0.9924,0.0656,140
0.5047,0.5,0.931,0.7711,0,0.001,0.0317,0.9924,0.0741,140
0.7956,0.5,0.931,0.7831,0,0.001,0.0315,0.9924,0.0726,140
0.7956,0.4,0.931,0.7831,0.0185,0.002,0.0376,0.9924,0.0706,140
0.9927,0.45,0.931,0.7229,0,0.001,0.037,0.9924,0.0541,140
0.9927,0.5,0.931,0.7349,0,0.001,0.0311,0.9924,0.0375,140
0.9927,0.5,0.931,0.759,0.0185,0.82,0.0209,0.9608,0.0245,140
0.9927,0.5,0.931,0.747,0,0.951,0.0272,0.9608,0.0255,140
0.976,0.5,0.931,0.747,0.0185,0.901,0.0272,1,0.0265,140
0.976,0.5,0.931,0.6988,0,0.542,0.0272,0.5812,0.022,140
0.8102,0.5,0.931,0.6988,0.0556,0.403,0.0272,0.5134,0.0265,140
0.8102,0.7,0.931,0.7108,0.0185,0.431,0.0272,0.5052,0.0255,140
0.8102,0.8,0.931,0.759,0,0.354,0.0272,0.4202,0.0245,140
0.8102,0.9,0.931,0.7952,0,0.349,0.0272,0.3782,0.023,140
0.5641,0.7,0.931,0.8434,0.037,0.562,0.0272,0.5238,0.0255,140
0.5641,0.7,0.931,0.7831,0.0556,0.437,0.0272,0.4,0.024,140
0.513,0.7,0.931,0.7711,0.0185,0.363,0.0272,0.3552,0.023,140
0.513,0.7,0.931,0.7831,0,0.314,0.0272,0.3164,0.0225,140
0.513,0.7,0.931,0.7831,0.0185,0.303,0.0272,0.3098,0.02,140
0.513,0.75,0.931,0.759,0.0556,0.27,0.0272,0.3084,0.0215,140
0.4015,0.7,0.931,0.7952,0,0.245,0.0272,0.2418,0.024,140
0.4015,0.75,0.931,0.8675,0,0.25,0.0272,0.2612,0.025,140
0.3931,0.8,0.931,0.8675,0,0.239,0.0246,0.248,0.031,140
0.3931,0.7,0.931,0.8675,0.0185,0.228,0.0315,0.2402,0.027,140
0.3931,0.6,0.931,0.8675,0.0185,0.237,0.0316,0.2356,0.0255,140
0.3931,0.5,0.931,0.8675,0,0.235,0.0447,0.2324,0.0265,140
0.3629,0.5,0.931,0.8795,0.037,0.235,0.1197,0.2312,0.027,140
0.3629,0.5,0.931,0.8795,0,0.234,0.2563,0.2302,0.0235,140
0.3629,0.5,0.931,0.8916,0.0185,0.252,0.2246,0.2306,0.079,140
0.3629,0.5,0.931,0.8916,0,0.246,0.1995,0.2356,0.0225,140
0.3629,0.5,0.931,0.9157,0,0.247,0.1923,0.2412,0.026,140
0.3629,0.5,0.931,0.9277,0,0.245,0.1505,0.2474,0.0295,140
0.3629,0.5,0.931,0.9157,0.0926,0.243,0.1099,0.2692,0.031,140
0.3629,0.5,0.931,0.8434,0.1667,0.219,0.0495,0.2738,0.0345,140
0.3712,0.5,0.931,0.8434,0.0556,0.219,0.0146,0.2522,0.035,140
0.3712,0.5,0.931,0.8554,0,0.173,0.009,0.2144,0.031,140
0.3712,0.5,0.931,0.8795,0,0.176,0.0126,0.2016,0.079,140
0.3712,0.5,0.931,0.9036,0,0.18,0.0109,0.1998,0.03,140
0.3306,0.5,0.931,0.9157,0,0.198,0.0112,0.2156,0.03,140
0.3921,0.8,0.931,0.8675,0.0741,0.371,0.0112,0.502,0.046,140
0.3921,0.8,0.931,0.747,0.0556,0.269,0.0112,0.3176,0.6637,140
0.5109,0.8,0.9655,0.6867,0.0556,0.262,0.0112,0.2852,0.498,140
0.5109,0.7,0.9655,0.6265,0.037,0.268,0.0106,0.2892,0.3478,140
0.5109,0.6,0.9655,0.6024,0.1667,0.212,0.006,0.2282,0.3128,140
0.5109,0.6,0.9655,0.5542,0.0741,0.208,0.0211,0.1954,0.2643,140
0.4265,0.55,0.9655,0.494,0.1296,0.208,0.0316,0.1816,0.2983,140
0.4265,0.5,0.9655,0.4819,0.3519,0.14,0.039,0.169,0.2998,140
0.4265,0.5,0.9655,0.4699,0.4074,0.085,0.0444,0.1492,0.079,140
0.4265,0.5,0.9655,0.4578,0.3704,0.04,0.0187,0.1804,0.5561,140
0.2033,0.6,0.9655,0.4578,0.3889,0.045,0.0359,0.1236,0.4895,140
0.2033,0.55,0.9655,0.4458,0.3148,0.044,0.077,0.0752,0.3018,140
0.2033,0.45,0.9655,0.4217,0.3148,0.035,0.0986,0.0588,0.2152,140
