pm10,temp,bp,rh,ws,co,o3,nox,so2
0.138,0.556,0.966,0.373,0.259,0.064,0.184,0.055,0.271
0.13,0.667,0.966,0.373,0.13,0.169,0.166,0.077,0.334
0.13,0.667,0.966,0.386,0.111,0.065,0.169,0.083,0.337
0.13,0.611,0.966,0.398,0.056,0.073,0.132,0.092,0.078
0.13,0.667,0.966,0.41,0.056,0.103,0.064,0.123,0.271
0.179,0.722,0.966,0.434,0.074,0.19,0.046,0.171,0.177
0.179,0.556,0.966,0.446,0.056,0.243,0.023,0.212,0.131
0.179,0.667,0.966,0.494,0.037,0.213,0.009,0.17,0.093
0.179,0.667,0.966,0.578,0.0,0.222,0.02,0.161,0.071
0.466,0.667,0.931,0.651,0.0,0.169,0.026,0.186,0.063
0.466,0.722,0.931,0.711,0.0,0.433,0.027,0.445,0.061
0.466,0.778,0.931,0.735,0.0,0.48,0.033,0.475,0.078
0.466,0.889,0.931,0.747,0.0,0.67,0.021,0.657,0.06
0.498,0.889,0.931,0.747,0.0,0.821,0.031,0.777,0.054
0.498,0.778,0.931,0.747,0.0,0.0,0.034,1.0,0.056
0.993,0.556,0.931,0.759,0.019,0.82,0.021,0.968,0.025
0.385,0.889,0.931,0.867,0.0,0.238,0.024,0.244,0.031
0.385,0.778,0.931,0.867,0.019,0.227,0.031,0.236,0.027
0.385,0.667,0.931,0.867,0.019,0.236,0.031,0.231,0.026
0.385,0.556,0.931,0.867,0.0,0.234,0.045,0.228,0.027
0.354,0.556,0.931,0.88,0.0,0.233,0.256,0.226,0.024
0.354,0.556,0.931,0.892,0.0,0.245,0.199,0.231,0.023
0.354,0.556,0.931,0.916,0.0,0.246,0.192,0.237,0.026
0.354,0.556,0.931,0.928,0.0,0.244,0.15,0.243,0.03
0.354,0.556,0.931,0.916,0.093,0.242,0.11,0.265,0.031
0.354,0.556,0.931,0.843,0.167,0.218,0.049,0.27,0.035
0.363,0.556,0.931,0.855,0.0,0.172,0.009,0.21,0.031
0.363,0.556,0.931,0.904,0.0,0.179,0.011,0.195,0.03
0.321,0.556,0.931,0.916,0.0,0.197,0.011,0.211,0.03
0.504,0.778,0.966,0.627,0.037,0.267,0.01,0.286,0.348
0.504,0.667,0.966,0.602,0.167,0.211,0.006,0.224,0.313
0.504,0.667,0.966,0.554,0.074,0.207,0.021,0.19,0.265
0.419,0.556,0.966,0.482,0.352,0.139,0.039,0.164,0.3
0.419,0.556,0.966,0.458,0.37,0.039,0.019,0.175,0.557
0.192,0.667,0.966,0.458,0.389,0.044,0.036,0.117,0.49
0.192,0.611,0.966,0.446,0.315,0.043,0.077,0.068,0.302
0.192,0.5,0.966,0.422,0.315,0.034,0.098,0.052,0.215
0.192,0.444,0.966,0.422,0.333,0.028,0.11,0.04,0.177
0.121,0.444,0.966,0.422,0.315,0.056,0.13,0.035,0.123
0.121,0.444,0.966,0.41,0.204,0.062,0.154,0.032,0.12
0.124,0.444,0.966,0.373,0.222,0.045,0.162,0.025,0.091
0.124,0.444,0.966,0.361,0.259,0.04,0.176,0.023,0.082
0.052,0.444,0.966,0.349,0.278,0.095,0.184,0.022,0.078
0.052,0.444,0.966,0.361,0.296,0.044,0.181,0.023,0.077
0.052,0.444,0.966,0.361,0.241,0.045,0.192,0.026,0.078
0.052,0.444,0.966,0.361,0.259,0.047,0.196,0.029,0.108
0.064,0.444,0.966,0.361,0.222,0.047,0.188,0.031,0.124
0.064,0.556,0.966,0.373,0.204,0.046,0.196,0.029,0.112
0.064,0.556,0.966,0.373,0.259,0.04,0.174,0.036,0.135
0.064,0.556,0.966,0.373,0.185,0.04,0.17,0.04,0.148
0.076,0.667,0.966,0.386,0.259,0.169,0.148,0.047,0.156
0.076,0.667,0.966,0.398,0.148,0.052,0.152,0.051,0.158
0.076,0.667,0.966,0.41,0.13,0.054,0.157,0.05,0.078
0.076,0.667,0.966,0.422,0.167,0.065,0.125,0.054,0.149
0.093,0.667,0.966,0.434,0.093,0.068,0.112,0.064,0.137
0.093,0.667,0.931,0.434,0.093,0.075,0.119,0.064,0.12
0.093,0.667,0.931,0.458,0.093,0.093,0.065,0.087,0.118
0.093,0.778,0.931,0.494,0.037,0.111,0.033,0.108,0.107
0.153,0.778,0.931,0.578,0.037,0.122,0.017,0.172,0.083
0.153,0.778,0.931,0.59,0.0,0.222,0.011,0.225,0.074
0.153,0.778,0.931,0.675,0.0,0.276,0.019,0.24,0.078
0.153,0.778,0.931,0.723,0.0,0.416,0.023,0.32,0.065
0.322,0.778,0.931,0.747,0.0,0.545,0.021,0.365,0.06
0.322,0.778,0.931,0.771,0.0,0.702,0.02,0.521,0.06
